Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST-00001,4,42,874178.0499999999,5,5,5,555,Champions
CUST-00002,36,41,782638.5,4,5,5,455,Champions
CUST-00003,11,38,642765.75,5,5,5,555,Champions
CUST-00004,6,45,1246016.8,5,5,5,555,Champions
CUST-00005,38,47,1144872.2,4,5,5,455,Champions
CUST-00006,5,50,1012665.35,5,5,5,555,Champions
CUST-00007,34,37,1041260.45,4,5,5,455,Champions
CUST-00008,18,37,772527.35,5,5,5,555,Champions
CUST-00009,37,42,785457.7,4,5,5,455,Champions
CUST-00010,3,36,919623.8,5,5,5,555,Champions
CUST-00011,2,39,835069.05,5,5,5,555,Champions
CUST-00012,20,41,1444662.9,5,5,5,555,Champions
CUST-00013,24,45,934406.65,5,5,5,555,Champions
CUST-00014,25,37,698783.95,5,5,5,555,Champions
CUST-00015,2,42,1211819.95,5,5,5,555,Champions
CUST-00016,33,37,795667.7,4,5,5,455,Champions
CUST-00017,3,46,1072830.55,5,5,5,555,Champions
CUST-00018,17,42,1118074.15,5,5,5,555,Champions
CUST-00019,5,31,1168212.9,5,5,5,555,Champions
CUST-00020,15,46,777634.1,5,5,5,555,Champions
CUST-00021,15,39,668369.55,5,5,5,555,Champions
CUST-00022,35,38,551890.45,4,5,5,455,Champions
CUST-00023,17,43,1177595.85,5,5,5,555,Champions
CUST-00024,21,41,1026709.9,5,5,5,555,Champions
CUST-00025,22,38,803830.15,5,5,5,555,Champions
CUST-00026,33,40,753962.4,4,5,5,455,Champions
CUST-00027,6,42,1054600.65,5,5,5,555,Champions
CUST-00028,23,50,1302527.8,5,5,5,555,Champions
CUST-00029,5,42,1033607.95,5,5,5,555,Champions
CUST-00030,5,37,941616.65,5,5,5,555,Champions
CUST-00031,1,39,1079027.0,5,5,5,555,Champions
CUST-00032,10,51,1146474.15,5,5,5,555,Champions
CUST-00033,1,33,521544.6,5,5,5,555,Champions
CUST-00034,7,54,1304891.35,5,5,5,555,Champions
CUST-00035,6,42,940573.65,5,5,5,555,Champions
CUST-00036,15,36,888282.75,5,5,5,555,Champions
CUST-00037,24,34,842089.85,5,5,5,555,Champions
CUST-00038,61,32,734998.2,3,5,5,355,Loyal Customers
CUST-00039,16,40,1005797.2999999999,5,5,5,555,Champions
CUST-00040,27,36,1126336.7,5,5,5,555,Champions
CUST-00041,7,36,733916.5,5,5,5,555,Champions
CUST-00042,18,34,913137.75,5,5,5,555,Champions
CUST-00043,5,38,717636.3,5,5,5,555,Champions
CUST-00044,1,41,1227691.1,5,5,5,555,Champions
CUST-00045,12,37,993083.9,5,5,5,555,Champions
CUST-00046,1,40,798228.35,5,5,5,555,Champions
CUST-00047,23,38,741488.1,5,5,5,555,Champions
CUST-00048,15,41,1455340.1,5,5,5,555,Champions
CUST-00049,18,36,875964.3,5,5,5,555,Champions
CUST-00050,12,43,726223.75,5,5,5,555,Champions
CUST-00051,12,28,603537.55,5,5,5,555,Champions
CUST-00052,6,32,472712.5,5,5,5,555,Champions
CUST-00053,6,43,1214739.9,5,5,5,555,Champions
CUST-00054,28,39,634794.65,5,5,5,555,Champions
CUST-00055,19,49,1288094.45,5,5,5,555,Champions
CUST-00056,45,43,1124338.8,4,5,5,455,Champions
CUST-00057,4,48,978596.7,5,5,5,555,Champions
CUST-00058,13,36,948908.7,5,5,5,555,Champions
