YearMonth,Revenue,Type
2024-01,50313409.65,Historical
2024-02,42848318.2,Historical
2024-03,52811271.3,Historical
2024-04,44753864.15,Historical
2024-05,44021102.15,Historical
2024-06,40238016.85,Historical
2024-07,57809321.7,Historical
2024-08,55160097.35,Historical
2024-09,38440353.0,Historical
2024-10,92693919.05,Historical
2024-11,85993002.0,Historical
2024-12,46607851.7,Historical
2025-01,50220450.15,Historical
2025-02,39776331.05,Historical
2025-03,49109292.85,Historical
2025-04,43064838.0,Historical
2025-05,43022056.5,Historical
2025-06,41451302.15,Historical
2025-07,54022522.75,Historical
2025-08,60208247.5,Historical
2025-09,44117771.9,Historical
2025-10,89161509.15,Historical
2025-11,87917349.05,Historical
2025-12,44691704.7,Historical
2026-01,61170764.76273551,Forecast
2026-02,61739994.070887685,Forecast
2026-03,62309223.379039854,Forecast
2026-04,62878452.68719203,Forecast
2026-05,63447681.9953442,Forecast
2026-06,64016911.303496376,Forecast
